"Localidad"	"Nivel_industrial"	"Num_posadero"	"Num_roed"	"Num_presas_tot"	"sup_pastizal"
23	3	6	70	147	0.209
23	3	7	84	164	0.209
23	3	8	38	71	0.209
23	3	9	57	109	0.209
24	3	1	43	84	0.176
24	3	2	23	59	0.176
24	3	3	57	109	0.176
24	3	4	28	60	0.176
24	3	5	38	84	0.176
24	3	6	22	58	0.176
24	3	7	60	151	0.176
24	3	8	49	95	0.176
24	3	9	31	65	0.176
24	3	10	30	61	0.176
